1	0	0	35
2	0	50	58
3	0	100	64
4	0	150	63
5	0	200	59
6	0	250	38
7	50	0	60
8	50	50	92
9	50	100	120
10	50	150	123
11	50	200	112
12	50	250	70
13	100	0	81
14	100	50	124
15	100	100	172
16	100	150	181
17	100	200	151
18	100	250	103
19	150	0	89
20	150	50	118
21	150	100	182
22	150	150	230
23	150	200	163
24	150	250	108
25	200	0	68
26	200	50	110
27	200	100	159
28	200	150	174
29	200	200	132
30	200	250	112
31	250	0	40
32	250	50	83
33	250	100	120
34	250	150	127
35	250	200	118
36	250	250	78
37	300	0	10
38	300	50	51
39	300	100	59
40	300	150	70
41	300	200	56
42	300	250	29
